prefix,arpnum,t_start,t_end,label,flares,FLARE_INDEX,AREA,USFLUX,MEANGBZ,R_VALUE
TARP,2091,1999-07-12 22:24:00,1999-07-13 22:24:00,False,,0.0,2258.0,9.753e+21,54.875,4.038
TARP,2091,1999-07-13 00:00:00,1999-07-14 00:00:00,False,,0.0,2249.0,9.705e+21,55.718,4.025
TARP,2091,1999-07-13 01:36:00,1999-07-14 01:36:00,False,,0.0,2240.0,9.636e+21,53.311,4.051
TARP,2091,1999-07-13 03:12:00,1999-07-14 03:12:00,False,,0.0,2219.0,9.638e+21,54.635,3.947
TARP,2091,1999-07-13 04:48:00,1999-07-14 04:48:00,False,,0.0,2259.0,9.831e+21,56.711,4.054
TARP,2091,1999-07-13 06:24:00,1999-07-14 06:24:00,False,,0.0,2292.0,9.956e+21,59.237,4.007
TARP,2091,1999-07-13 08:00:00,1999-07-14 08:00:00,False,,0.0,2328.0,9.991e+21,58.048,3.99
TARP,2091,1999-07-13 09:36:00,1999-07-14 09:36:00,False,,0.0,2355.0,1.009e+22,60.71,3.999
TARP,2091,1999-07-13 11:12:00,1999-07-14 11:12:00,False,,0.0,2357.0,1.006e+22,61.986,3.86
TARP,2091,1999-07-13 12:48:00,1999-07-14 12:48:00,False,,0.0,2345.0,1.001e+22,62.833,3.964
TARP,2091,1999-07-13 14:24:00,1999-07-14 14:24:00,False,,0.0,2371.0,1.039e+22,64.476,3.957
TARP,2091,1999-07-13 16:00:00,1999-07-14 16:00:00,False,,0.0,2387.0,1.044e+22,63.719,3.913
TARP,2091,1999-07-13 17:36:00,1999-07-14 17:36:00,False,,0.0,2402.0,1.073e+22,64.776,3.93
TARP,2091,1999-07-13 19:12:00,1999-07-14 19:12:00,False,,0.0,2420.0,1.076e+22,65.502,3.976
TARP,2091,1999-07-13 20:48:00,1999-07-14 20:48:00,False,,0.0,2440.0,1.061e+22,61.939,3.857
TARP,2091,1999-07-13 22:24:00,1999-07-14 22:24:00,False,,0.0,2454.0,1.078e+22,64.147,3.863
TARP,2091,1999-07-14 00:00:00,1999-07-15 00:00:00,False,,0.0,2464.0,1.084e+22,64.264,3.824
TARP,2091,1999-07-14 01:36:00,1999-07-15 01:36:00,False,,0.0,2471.0,1.072e+22,63.122,3.838
TARP,2091,1999-07-14 03:12:00,1999-07-15 03:12:00,False,,0.0,2479.0,1.053e+22,59.609,3.826
TARP,2091,1999-07-14 04:48:00,1999-07-15 04:48:00,False,,0.0,2492.0,1.043e+22,58.53,3.831
TARP,2091,1999-07-14 06:24:00,1999-07-15 06:24:00,False,,0.0,2475.0,1.055e+22,62.462,3.827
TARP,2091,1999-07-14 08:00:00,1999-07-15 08:00:00,False,,0.0,2458.0,1.051e+22,62.371,3.76
TARP,2091,1999-07-14 09:36:00,1999-07-15 09:36:00,False,,0.0,2445.0,1.045e+22,62.636,3.761
TARP,2091,1999-07-14 11:12:00,1999-07-15 11:12:00,False,,0.0,2447.0,1.053e+22,63.571,3.756
TARP,2091,1999-07-14 12:48:00,1999-07-15 12:48:00,False,,0.0,2421.0,1.044e+22,63.557,3.428
TARP,2091,1999-07-14 14:24:00,1999-07-15 14:24:00,False,,0.0,2408.0,1.049e+22,63.945,3.502
TARP,2091,1999-07-14 16:00:00,1999-07-15 16:00:00,False,,0.0,2387.0,1.042e+22,65.159,3.503
TARP,2091,1999-07-14 17:36:00,1999-07-15 17:36:00,False,,0.0,2435.0,1.064e+22,66.679,3.688
TARP,2091,1999-07-14 19:12:00,1999-07-15 19:12:00,False,,0.0,2450.0,1.07e+22,66.683,3.421
TARP,2091,1999-07-14 20:48:00,1999-07-15 20:48:00,False,,0.0,2487.0,1.074e+22,65.919,3.284
TARP,2091,1999-07-14 22:24:00,1999-07-15 22:24:00,False,,0.0,2528.0,1.083e+22,66.624,3.486
TARP,2091,1999-07-15 00:00:00,1999-07-16 00:00:00,False,,0.0,2536.0,1.092e+22,66.309,2.179
TARP,2091,1999-07-15 01:36:00,1999-07-16 01:36:00,False,,0.0,2545.0,1.093e+22,66.529,2.447
TARP,2091,1999-07-15 03:12:00,1999-07-16 03:12:00,False,,0.0,2546.0,1.109e+22,67.099,0.0
TARP,2091,1999-07-15 04:48:00,1999-07-16 04:48:00,False,,0.0,2562.0,1.115e+22,68.796,0.0
TARP,2091,1999-07-15 06:24:00,1999-07-16 06:24:00,False,,0.0,2636.0,1.116e+22,68.276,2.76
TARP,2091,1999-07-15 08:00:00,1999-07-16 08:00:00,False,,0.0,2692.0,1.116e+22,67.301,3.097
TARP,2091,1999-07-15 09:36:00,1999-07-16 09:36:00,False,,0.0,2710.0,1.122e+22,67.41,3.107
TARP,2091,1999-07-15 11:12:00,1999-07-16 11:12:00,False,,0.0,2711.0,1.13e+22,67.926,2.957
TARP,2091,1999-07-15 12:48:00,1999-07-16 12:48:00,False,,0.0,2720.0,1.124e+22,67.514,2.901
TARP,2091,1999-07-15 14:24:00,1999-07-16 14:24:00,False,,0.0,2703.0,1.124e+22,68.129,2.409
TARP,2091,1999-07-15 16:00:00,1999-07-16 16:00:00,False,,0.0,2718.0,1.131e+22,68.894,0.0
TARP,2091,1999-07-15 17:36:00,1999-07-16 17:36:00,False,,0.0,2722.0,1.126e+22,68.367,2.553
TARP,2091,1999-07-15 19:12:00,1999-07-16 19:12:00,False,,0.0,2721.0,1.12e+22,67.943,2.184
TARP,2091,1999-07-15 20:48:00,1999-07-16 20:48:00,False,,0.0,2743.0,1.13e+22,67.657,0.0
TARP,2091,1999-07-15 22:24:00,1999-07-16 22:24:00,False,,0.0,2756.0,1.128e+22,67.635,2.924
TARP,2091,1999-07-16 00:00:00,1999-07-17 00:00:00,False,,0.0,2798.0,1.135e+22,66.947,2.967
TARP,2091,1999-07-16 01:36:00,1999-07-17 01:36:00,False,,0.0,2837.0,1.142e+22,67.406,1.944
TARP,2091,1999-07-16 03:12:00,1999-07-17 03:12:00,False,,0.0,2840.0,1.147e+22,67.669,2.24
TARP,2091,1999-07-16 04:48:00,1999-07-17 04:48:00,False,,0.0,2874.0,1.167e+22,68.95,3.043
TARP,2091,1999-07-16 06:24:00,1999-07-17 06:24:00,False,,0.0,2872.0,1.165e+22,68.127,2.502
TARP,2091,1999-07-16 08:00:00,1999-07-17 08:00:00,False,,0.0,2969.0,1.167e+22,67.01,2.273
TARP,2091,1999-07-16 09:36:00,1999-07-17 09:36:00,False,,0.0,2966.0,1.154e+22,66.111,2.281
TARP,2091,1999-07-16 11:12:00,1999-07-17 11:12:00,False,,0.0,2957.0,1.156e+22,65.714,1.992
TARP,2091,1999-07-16 12:48:00,1999-07-17 12:48:00,False,,0.0,2936.0,1.155e+22,66.567,2.579
TARP,2091,1999-07-16 14:24:00,1999-07-17 14:24:00,False,,0.0,2941.0,1.146e+22,66.364,2.82
TARP,2091,1999-07-16 16:00:00,1999-07-17 16:00:00,False,,0.0,2930.0,1.145e+22,67.002,2.495
TARP,2091,1999-07-16 17:36:00,1999-07-17 17:36:00,False,,0.0,2935.0,1.152e+22,67.857,2.535
TARP,2091,1999-07-16 19:12:00,1999-07-17 19:12:00,False,,0.0,2922.0,1.161e+22,67.782,2.519
TARP,2091,1999-07-16 20:48:00,1999-07-17 20:48:00,False,,0.0,2910.0,1.165e+22,69.27,3.218
TARP,2091,1999-07-16 22:24:00,1999-07-17 22:24:00,False,,0.0,2899.0,1.176e+22,71.08,3.334
TARP,2091,1999-07-17 00:00:00,1999-07-18 00:00:00,False,,0.0,2909.0,1.173e+22,70.707,3.408
TARP,2091,1999-07-17 01:36:00,1999-07-18 01:36:00,False,,0.0,2935.0,1.175e+22,69.915,3.347
TARP,2091,1999-07-17 03:12:00,1999-07-18 03:12:00,False,,0.0,2978.0,1.178e+22,69.649,3.383
TARP,2091,1999-07-17 04:48:00,1999-07-18 04:48:00,False,,0.0,2986.0,1.16e+22,68.895,3.475
TARP,2091,1999-07-17 06:24:00,1999-07-18 06:24:00,False,,0.0,2993.0,1.128e+22,67.237,3.431
TARP,2091,1999-07-17 08:00:00,1999-07-18 08:00:00,False,,0.0,2985.0,1.112e+22,65.378,3.456
TARP,2091,1999-07-17 09:36:00,1999-07-18 09:36:00,False,,0.0,2962.0,1.1e+22,65.496,3.48
TARP,2091,1999-07-17 11:12:00,1999-07-18 11:12:00,False,,0.0,2929.0,1.09e+22,66.291,3.18
TARP,2091,1999-07-17 12:48:00,1999-07-18 12:48:00,False,,0.0,2911.0,1.08e+22,67.054,3.053
TARP,2091,1999-07-17 14:24:00,1999-07-18 14:24:00,False,,0.0,2863.0,1.062e+22,66.587,3.256
TARP,2091,1999-07-17 16:00:00,1999-07-18 16:00:00,False,,0.0,2813.0,1.042e+22,67.837,3.259
TARP,2091,1999-07-17 17:36:00,1999-07-18 17:36:00,False,,0.0,2767.0,1.027e+22,67.673,3.194
TARP,2091,1999-07-17 19:12:00,1999-07-18 19:12:00,False,,0.0,2750.0,9.981e+21,65.734,3.244
TARP,2091,1999-07-17 20:48:00,1999-07-18 20:48:00,False,,0.0,2749.0,9.782e+21,64.544,3.167
TARP,2091,1999-07-17 22:24:00,1999-07-18 22:24:00,False,,0.0,2731.0,9.409e+21,62.698,2.667
TARP,2091,1999-07-18 00:00:00,1999-07-19 00:00:00,False,,0.0,2713.0,9.086e+21,61.218,2.803
TARP,2091,1999-07-18 01:36:00,1999-07-19 01:36:00,False,,0.0,2687.0,8.898e+21,60.776,2.7
TARP,2091,1999-07-18 03:12:00,1999-07-19 03:12:00,False,,0.0,2643.0,8.73e+21,60.269,2.606
TARP,2091,1999-07-18 04:48:00,1999-07-19 04:48:00,False,,0.0,2602.0,8.479e+21,60.181,1.992
TARP,2091,1999-07-18 06:24:00,1999-07-19 06:24:00,False,,0.0,2553.0,8.349e+21,59.79,2.647
TARP,2091,1999-07-18 08:00:00,1999-07-19 08:00:00,False,,0.0,2498.0,8.287e+21,59.817,2.769
TARP,2091,1999-07-18 09:36:00,1999-07-19 09:36:00,False,,0.0,2328.0,7.978e+21,60.725,2.862
TARP,2091,1999-07-18 11:12:00,1999-07-19 11:12:00,False,,0.0,2225.0,7.94e+21,62.163,3.155
TARP,2091,1999-07-18 12:48:00,1999-07-19 12:48:00,False,,0.0,2279.0,8.031e+21,62.297,3.2
TARP,2091,1999-07-18 14:24:00,1999-07-19 14:24:00,False,,0.0,2306.0,8.046e+21,62.634,3.03
TARP,2091,1999-07-18 16:00:00,1999-07-19 16:00:00,False,,0.0,2323.0,7.85e+21,60.613,2.819
TARP,2091,1999-07-18 17:36:00,1999-07-19 17:36:00,False,,0.0,2347.0,7.802e+21,58.928,3.001
TARP,2091,1999-07-18 19:12:00,1999-07-19 19:12:00,False,,0.0,2373.0,7.748e+21,57.411,2.828
TARP,2091,1999-07-18 20:48:00,1999-07-19 20:48:00,False,,0.0,2388.0,7.69e+21,57.391,2.845
TARP,2091,1999-07-18 22:24:00,1999-07-19 22:24:00,False,,0.0,2389.0,7.679e+21,56.993,2.676
TARP,2091,1999-07-19 00:00:00,1999-07-20 00:00:00,False,,0.0,2394.0,7.473e+21,55.895,2.563
TARP,2091,1999-07-19 01:36:00,1999-07-20 01:36:00,False,,0.0,2426.0,7.443e+21,56.651,2.6
TARP,2091,1999-07-19 03:12:00,1999-07-20 03:12:00,False,,0.0,2452.0,7.47e+21,57.048,3.011
TARP,2091,1999-07-19 04:48:00,1999-07-20 04:48:00,False,,0.0,2444.0,7.297e+21,56.264,2.935
TARP,2091,1999-07-19 06:24:00,1999-07-20 06:24:00,False,,0.0,2419.0,7.17e+21,54.787,3.067
TARP,2091,1999-07-19 08:00:00,1999-07-20 08:00:00,False,,0.0,2393.0,6.852e+21,50.99,3.137
TARP,2091,1999-07-19 09:36:00,1999-07-20 09:36:00,False,,0.0,2367.0,6.643e+21,50.246,2.992
TARP,2091,1999-07-19 11:12:00,1999-07-20 11:12:00,False,,0.0,2323.0,6.399e+21,48.322,2.784
TARP,2091,1999-07-19 12:48:00,1999-07-20 12:48:00,False,,0.0,2286.0,6.255e+21,47.727,0.0
TARP,2091,1999-07-19 14:24:00,1999-07-20 14:24:00,False,,0.0,2271.0,6.181e+21,46.868,0.0
TARP,2091,1999-07-19 16:00:00,1999-07-20 16:00:00,False,,0.0,2247.0,6.359e+21,51.235,0.0
TARP,2091,1999-07-19 17:36:00,1999-07-20 17:36:00,False,,0.0,2215.0,6.245e+21,51.108,0.0
TARP,2091,1999-07-19 19:12:00,1999-07-20 19:12:00,False,,0.0,2164.0,6.166e+21,51.456,0.0
TARP,2091,1999-07-19 20:48:00,1999-07-20 20:48:00,False,,0.0,2099.0,5.989e+21,51.373,0.0
TARP,2091,1999-07-19 22:24:00,1999-07-20 22:24:00,False,,0.0,2027.0,5.797e+21,51.831,0.0
TARP,2091,1999-07-20 00:00:00,1999-07-21 00:00:00,False,,0.0,1946.0,5.554e+21,51.663,0.0
TARP,2091,1999-07-20 01:36:00,1999-07-21 01:36:00,False,,0.0,1944.0,5.33e+21,45.923,0.0
TARP,2091,1999-07-20 03:12:00,1999-07-21 03:12:00,False,,0.0,1962.0,5.235e+21,44.838,0.0
TARP,2091,1999-07-20 04:48:00,1999-07-21 04:48:00,False,,0.0,1948.0,5.142e+21,45.085,0.0
TARP,2091,1999-07-20 06:24:00,1999-07-21 06:24:00,False,,0.0,1921.0,5.232e+21,48.632,0.0
TARP,2091,1999-07-20 08:00:00,1999-07-21 08:00:00,False,,0.0,1877.0,4.935e+21,48.111,0.0
TARP,2091,1999-07-20 09:36:00,1999-07-21 09:36:00,False,,0.0,1822.0,4.848e+21,48.797,0.0
TARP,2091,1999-07-20 11:12:00,1999-07-21 11:12:00,False,,0.0,1750.0,4.585e+21,48.536,0.0
TARP,2091,1999-07-20 12:48:00,1999-07-21 12:48:00,False,,0.0,1705.0,4.365e+21,43.86,0.0
TARP,2091,1999-07-20 14:24:00,1999-07-21 14:24:00,False,,0.0,1683.0,4.213e+21,43.364,0.0
TARP,2091,1999-07-20 16:00:00,1999-07-21 16:00:00,False,,0.0,1676.0,4.294e+21,46.756,0.0
TARP,2091,1999-07-20 17:36:00,1999-07-21 17:36:00,False,,0.0,1675.0,4e+21,44.505,0.0
TARP,2091,1999-07-20 19:12:00,1999-07-21 19:12:00,False,,0.0,1678.0,3.95e+21,43.623,0.0
TARP,2091,1999-07-20 20:48:00,1999-07-21 20:48:00,False,,0.0,1657.0,3.813e+21,43.211,0.0
TARP,2091,1999-07-20 22:24:00,1999-07-21 22:24:00,False,,0.0,1646.0,3.651e+21,41.988,0.0
